userId,movieId,tag,timestamp
342,1193,psychological,1328028964
342,112556,meticulous,1422733882
359,3660,'I Can't Get That Theme Song Out Of My Head',1188137145
359,46967,A Comedy Version Of Matchpoint,1187003403
558,25927,noir thriller,1367991735
707,93988,romance,1422066344
1244,67087,likeable,1293731297
1588,1196,space,1282962270
1588,2502,Ron Livingston,1282960326
1623,1206,social commentary,1378580263
1629,7254,sci-fi,1394469994
1629,58103,multiple storylines,1394470502
1678,193,sexual,1413318915
1678,318,adapted from:book,1413310742
1678,2028,disturbing,1413227679
1741,19,private detective,1324158743
1741,497,playwright:Shakespeare,1226865017
1741,1251,remake of 8-and-a-half,1262140846
1741,1269,mad old woman is killer in comedy,1388895240
1741,1284,major reshooting,1177169849
1741,2551,twins/inter-related lives,1187301328
1741,2803,author:John Grisham,1190549917
1741,2848,playwright:Shakespeare,1226865152
1741,2916,memory makes us who we are,1358039319
1741,3247,setting:Reno,1241281460
1741,3360,sports competition,1183427457
1741,3418,subgenre:buddies,1178843735
1741,3668,playwright:Shakespeare,1226865196
1741,3977,genre spoof,1241137162
1741,5958,Based on a TV show,1183418623
1741,6365,dystopia,1183932563
1741,7311,adapted from:book,1177810271
1741,8965,Xmas theme(?),1182124773
1741,26700,disguised as a nun,1303305765
1741,30793,remadeAs:Charlie and the Chocolate...(2005),1186839596
1741,33725,topic:deafness,1182123037
1741,34162,subgenre:buddies,1189035294
1741,41569,animal:great ape,1211636051
1741,44100,mentor/trainer,1312856442
1741,49957,queer,1386520402
1741,54372,author:Harlan Coben,1232402468
1741,60126,laser maze room (in a comedy),1214614423
1741,63121,author:Charles Dickens,1228693122
1741,69805,Dracula,1334321777
1741,90249,sport:boxing,1318357444
1741,99238,adapted from:book,1356449624
1763,34579,glbt,1137349348
1849,1036,action packed,1368471992
1966,31116,WWI. pacificsm,1152638354
2024,3264,dark comedy,1241386337
2062,1215,Bruce Campbell,1285098946
2062,1983,suspense,1286237715
2062,43608,survival,1286578533
2197,97913,video games,1359526745
2274,50,complicated,1244555425
2274,353,son of a legend,1208581900
2274,48394,stylized,1244553773
2274,60069,Animation,1244554873
2702,90430,good acting,1378488170
2931,8368,Rupert Grint,1248629408
2931,33615,Sacha Baron Cohen,1253550139
2931,62439,Dane Cook,1264381172
2931,68237,Sam Rockwell,1265244807
3051,4863,Divine,1346700017
3051,6748,David Cronenberg,1346699506
3081,1200,space,1315821043
3251,1416,Madonna,1291982706
3251,99114,Great performances,1364903093
3397,74324,biopic,1356394074
3490,260,jedi,1252005520
3576,368,gambling,1171033588
3576,5991,adapted from B'way,1242234259
3596,110,historical,1290308156
3596,344,Dumb,1290308433
3596,1213,disturbing,1290307688
3822,33004,Zooey Deschanel,1271817380
4087,527,atmospheric,1365715688
4087,1203,cinematography,1356210685
4087,1252,cynical,1318632627
4087,3949,depressing,1381778082
4087,47491,danish,1322321275
4087,73587,comedy,1390514979
4087,86548,Reese Witherspoon,1316909354
4087,89535,empty characters,1382898771
4087,93510,hilarious,1342123169
4087,119126,Serial killer,1418940291
4284,198,Juliette Lewis,1295120705
4284,541,assassin,1295120674
4284,1391,Sarah Jessica Parker,1295135276
4284,1923,Ben Stiller,1295120359
4284,5541,Lloyd Bridges,1295134008
4284,54503,Michael Cera,1295122671
4450,116,nazis,1248759096
4450,848,small town,1295836872
4450,1257,high school,1248759149
4450,1270,future,1340940275
4450,2012,sequel,1340940464
4450,3072,Oscar (Best Actress),1409798894
4450,3525,vulgar,1401432956
